#insert user
username, password, email
giovanni, 03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4, giovanni@example.com
marco, 03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4, marco@example.com

#insert user
username, password, email
anna, 03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4, anna@example.com
giulia,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4,giulia@example.com

#update user BY email
username, password, email
nino, 03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4, giovanni@example.com

